name,type,start_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90,Ranked on Forbes
University of Connecticut (UConn),State,less than national average,88800.0,46100.0,66400.0,120000.0,162000.0,False
University of Massachusetts (UMass) - Amherst,State,less than national average,88200.0,43100.0,61300.0,122000.0,168000.0,False
"California State University (CSU), Chico",State,less than national average,88100.0,46800.0,62800.0,122000.0,154000.0,False
University of Florida (UF),State,less than national average,87900.0,45400.0,62900.0,120000.0,172000.0,False
University of Wisconsin (UW) - Madison,State,less than national average,87800.0,47400.0,62400.0,118000.0,170000.0,False
Louisiana State University (LSU),State,less than national average,87800.0,43700.0,61300.0,120000.0,165000.0,False
"California State University, Fullerton (CSUF)",State,less than national average,87000.0,45400.0,62500.0,119000.0,158000.0,False
George Mason University,State,less than national average,86900.0,51300.0,67200.0,114000.0,150000.0,False
University of Massachusetts (UMass) - Lowell,State,less than national average,86600.0,50900.0,65000.0,113000.0,158000.0,False
San Francisco State University (SFSU),State,less than national average,86400.0,45100.0,62700.0,114000.0,150000.0,False
University of Arizona,State,less than national average,86100.0,44800.0,61700.0,117000.0,160000.0,False
Clemson University,State,less than national average,86000.0,50500.0,61800.0,111000.0,150000.0,False
University of Georgia (UGA),State,less than national average,86000.0,43100.0,57800.0,118000.0,164000.0,False
Pennsylvania State University (PSU),State,less than national average,85700.0,46300.0,62000.0,117000.0,160000.0,False
University of Washington (UW),State,less than national average,85300.0,47000.0,59800.0,115000.0,149000.0,False
Michigan State University (MSU),State,less than national average,85300.0,44200.0,61500.0,119000.0,170000.0,False
University of Rhode Island (URI),State,less than national average,85300.0,45400.0,60100.0,112000.0,157000.0,False
San Diego State University (SDSU),State,less than national average,85200.0,45500.0,61800.0,116000.0,158000.0,False
Auburn University,State,less than national average,84700.0,45400.0,62700.0,109000.0,145000.0,False
Washington State University (WSU),State,less than national average,84700.0,43600.0,59000.0,113000.0,162000.0,False
"California State University, Long Beach (CSULB)",State,less than national average,84700.0,47400.0,62500.0,113000.0,154000.0,False
Iowa State University,State,less than national average,84600.0,44400.0,60000.0,109000.0,147000.0,False
University of Delaware,State,less than national average,84500.0,44500.0,64000.0,119000.0,165000.0,False
University of Colorado - Denver,State,less than national average,84400.0,46400.0,58600.0,105000.0,144000.0,False
"California State University, East Bay (CSUEB)",State,less than national average,84300.0,46000.0,62400.0,115000.0,155000.0,False
State University of New York (SUNY) at Farmingdale,State,less than national average,84200.0,50200.0,59800.0,110000.0,162000.0,False
University of Minnesota,State,less than national average,84200.0,49000.0,63200.0,112000.0,148000.0,False
Arizona State University (ASU),State,less than national average,84100.0,44600.0,60700.0,114000.0,163000.0,False
"University of California, Santa Cruz (UCSC)",State,less than national average,84100.0,46100.0,62000.0,121000.0,165000.0,False
"Indiana University (IU), Bloomington",State,less than national average,84000.0,43600.0,60400.0,119000.0,178000.0,False
University of Iowa (UI),State,less than national average,83900.0,43300.0,61100.0,116000.0,163000.0,False
Ohio State University (OSU),State,less than national average,83700.0,45500.0,60700.0,116000.0,162000.0,False
North Carolina State University (NCSU),State,less than national average,83300.0,49200.0,64800.0,112000.0,153000.0,False
Oregon State University (OSU),State,less than national average,83300.0,46900.0,64000.0,113000.0,146000.0,False
University of Utah,State,less than national average,83200.0,43000.0,58400.0,116000.0,148000.0,False
"University of Nevada, Reno (UNR)",State,less than national average,82900.0,41900.0,54600.0,113000.0,143000.0,False
University of Oklahoma,State,less than national average,82900.0,41200.0,60300.0,114000.0,167000.0,False
University of Arkansas,State,less than national average,82800.0,43200.0,60700.0,113000.0,160000.0,False
University of Vermont (UVM),State,less than national average,82700.0,44700.0,58000.0,122000.0,194000.0,False
University of Alabama at Huntsville (UAH),State,less than national average,82700.0,46100.0,67800.0,106000.0,132000.0,False
"California State University, Sacramento (CSUS)",State,less than national average,82400.0,42900.0,59600.0,111000.0,154000.0,False
University of Idaho,State,less than national average,82000.0,43000.0,56700.0,104000.0,142000.0,False
University of Illinois at Chicago,State,less than national average,81700.0,44700.0,58800.0,110000.0,146000.0,False
State University of New York (SUNY) at Buffalo,State,less than national average,81700.0,45900.0,61400.0,110000.0,147000.0,False
University of Kansas,State,less than national average,81600.0,44800.0,57200.0,115000.0,156000.0,False
University of New Mexico (UNM),State,less than national average,81600.0,41800.0,59100.0,105000.0,141000.0,False
University of North Carolina at Chapel Hill (UNCH),State,less than national average,81500.0,43400.0,57500.0,117000.0,155000.0,False
"University of Alabama, Tuscaloosa",State,less than national average,81400.0,40100.0,56500.0,117000.0,161000.0,False
"University of California, Riverside (UCR)",State,less than national average,81300.0,37200.0,59900.0,109000.0,134000.0,False
State University of New York (SUNY) at Geneseo,State,less than national average,81300.0,39300.0,47600.0,117000.0,173000.0,False
University of Missouri - Columbia,State,less than national average,81000.0,43500.0,57100.0,111000.0,156000.0,False
University of Nebraska,State,less than national average,80900.0,42200.0,56600.0,113000.0,156000.0,False
University of Texas at Arlington (UTA),State,less than national average,80800.0,46400.0,61200.0,106000.0,138000.0,False
Northern Illinois University (NIU),State,less than national average,80800.0,43900.0,60200.0,111000.0,161000.0,False
